id,EAP,HPL,MWS
id02310,0.375316307,0.255640793,0.3690429
id24541,0.421625144,0.292666128,0.285708728
id00134,0.37978091,0.350146491,0.270072599
id27757,0.387193726,0.36188994,0.250916334
id04081,0.421414357,0.247813382,0.33077226
id27337,0.420956104,0.312507423,0.266536473
id24265,0.417931189,0.263978436,0.318090376
id25917,0.336281134,0.286836215,0.376882651
id04951,0.459362501,0.285034663,0.255602837
id14549,0.458703733,0.255845132,0.285451136
id22505,0.326503956,0.304220062,0.369275982
id24002,0.333883008,0.384415065,0.281701927
id18982,0.337381571,0.298411931,0.364206498
id15181,0.318040834,0.412286986,0.26967218
id21888,0.406852178,0.274811608,0.318336214
id12035,0.274808988,0.232103806,0.493087206
id17991,0.384087306,0.252728796,0.363183898
id10707,0.495743845,0.253247874,0.251008281
id07101,0.362037523,0.327073142,0.310889335
id00345,0.393450156,0.336672971,0.269876873
id05912,0.443680463,0.255305422,0.301014116
id13443,0.396732495,0.263812263,0.339455242
id09248,0.362336156,0.315958322,0.321705522
id17542,0.381443059,0.272180185,0.346376756
id06995,0.362098677,0.284172741,0.353728582
id25159,0.404514749,0.198396529,0.397088722
id25729,0.395919475,0.327879723,0.276200803
id26949,0.413697314,0.304477683,0.281825003
id27191,0.373163264,0.251429227,0.375407509
id07668,0.381138127,0.253500015,0.365361859
id02230,0.343213873,0.278522554,0.378263573
id15553,0.436740727,0.286455702,0.276803571
id25688,0.25530003,0.488940545,0.255759425
id17545,0.512019686,0.229862197,0.258118118
id13929,0.385654682,0.32935506,0.284990258
id12880,0.357349539,0.335799738,0.306850723
id19282,0.400694501,0.289395055,0.309910444
id14690,0.302898309,0.302133713,0.394967977
id17975,0.341682537,0.354851947,0.303465516
id08037,0.466092926,0.248453241,0.285453834
id15412,0.34038103,0.24786382,0.41175515
id25032,0.491367392,0.228090678,0.280541929
id27165,0.48847186,0.2462156,0.26531254
id03327,0.409613336,0.313430738,0.276955927
id18515,0.428147646,0.288222905,0.283629449
id21003,0.332154066,0.327996355,0.339849579
id23855,0.257354841,0.404016387,0.338628772
id20724,0.432354981,0.26424238,0.303402639
id13303,0.383048944,0.296194029,0.320757028
id16521,0.327493017,0.345277883,0.3272291
id20775,0.470593995,0.27434271,0.255063295
id13029,0.441971747,0.270116699,0.287911555
id14660,0.406037338,0.304740166,0.289222496
id11028,0.32967479,0.189891416,0.480433794
id14180,0.478796847,0.267188609,0.254014543
id25860,0.410608114,0.2846405,0.304751386
id11910,0.388836229,0.181823689,0.429340082
id08065,0.317334929,0.30699241,0.375672661
id22674,0.374993918,0.266564371,0.358441711
id25018,0.378716512,0.261564523,0.359718966
id10892,0.342325882,0.374315567,0.283358551
id10217,0.38841108,0.335347144,0.276241776
id12996,0.357019438,0.251458385,0.391522176
id18262,0.400723777,0.276299763,0.322976461
id08606,0.326698325,0.401545081,0.271756595
id17233,0.323577319,0.279876225,0.396546455
id00101,0.403995514,0.294501527,0.301502958
id12225,0.473822689,0.246865369,0.279311942
id01364,0.337445507,0.379375678,0.283178815
id24973,0.400900074,0.22232808,0.376771846
id25363,0.387485555,0.268167612,0.344346833
id10061,0.394255128,0.289725287,0.316019586
id17673,0.352268077,0.344262534,0.303469389
id13249,0.400290882,0.258159579,0.341549539
id10107,0.350384645,0.240439696,0.409175659
id04403,0.402897332,0.288379845,0.308722822
id25728,0.394016278,0.310295737,0.295687985
id16184,0.364132121,0.300627645,0.335240234
id03438,0.328082606,0.238352377,0.433565017
id22923,0.333484349,0.431489603,0.235026048
id08610,0.479167287,0.258327368,0.262505345
id25355,0.326698565,0.273204244,0.400097191
id16916,0.367961115,0.349930811,0.282108074
id12793,0.340827618,0.367711432,0.29146095
id11859,0.387951722,0.303831662,0.308216616
id02434,0.476152339,0.261844512,0.26200315
id27703,0.31634632,0.227569878,0.456083802
id25212,0.340544599,0.34898577,0.310469631
id11308,0.287520357,0.262947934,0.449531708
id26094,0.454856093,0.278027347,0.26711656
id22080,0.451326049,0.297753817,0.250920133
id03545,0.456094249,0.29340384,0.250501911
id23725,0.327480838,0.29869963,0.373819531
id12009,0.474762563,0.270114613,0.255122825
id24241,0.353566237,0.347546961,0.298886801
id03596,0.347441985,0.382265907,0.270292108
id10749,0.342425527,0.391887138,0.265687335
id22794,0.293121187,0.287739097,0.419139716
id15482,0.385946628,0.284878768,0.329174604
id04833,0.416332562,0.294393184,0.289274254
id00397,0.375506685,0.26731516,0.357178155
id14691,0.345093296,0.27349159,0.381415114
id05193,0.322446978,0.252730738,0.424822285
id19541,0.384473756,0.311356297,0.304169946
id22166,0.300560423,0.300569455,0.398870123
id20744,0.320382996,0.240669875,0.43894713
id10392,0.340370121,0.297047733,0.362582145
id00770,0.43177702,0.264680097,0.303542883
id06018,0.364824265,0.323004492,0.312171243
id15678,0.40500985,0.25380799,0.34118216
id08305,0.464161239,0.357485163,0.178353598
id08903,0.276590137,0.259147327,0.464262536
id14752,0.40786783,0.330073433,0.262058737
id12468,0.325345927,0.419169911,0.255484161
id05085,0.37433293,0.314465283,0.311201787
id21993,0.386076195,0.275151271,0.338772533
id15503,0.468403927,0.274373057,0.257223015
id03021,0.310591318,0.403078515,0.286330167
id16123,0.496788104,0.254812572,0.248399324
id19383,0.429645981,0.289257309,0.28109671
id04186,0.461353406,0.234357324,0.304289269
id17954,0.351017438,0.271872327,0.377110236
id12030,0.381171532,0.232434674,0.386393794
id13020,0.389602782,0.375160843,0.235236375
id25327,0.32070647,0.341949279,0.337344251
id16344,0.314511362,0.298898488,0.38659015
id12303,0.355686292,0.360740203,0.283573505
id15017,0.423361699,0.296178349,0.280459952
id22308,0.356328392,0.309794063,0.333877545
id06536,0.322992633,0.286799566,0.390207802
id19797,0.312668883,0.335133885,0.352197232
id06332,0.415546821,0.311682669,0.272770509
id22941,0.345792532,0.307562207,0.346645262
id13547,0.330924768,0.315068773,0.354006459
id06928,0.338364417,0.217095233,0.44454035
id12521,0.322065594,0.373610569,0.304323837
id25716,0.448028002,0.261561178,0.29041082
id27116,0.378651415,0.254634071,0.366714515
id19941,0.341878209,0.371698846,0.286422945
id05711,0.317732445,0.277255477,0.405012078
id02097,0.321223929,0.303831527,0.374944545
id03563,0.355908432,0.375456939,0.268634629
id02295,0.341747187,0.295787008,0.362465805
id08179,0.418738604,0.294814822,0.286446575
id05332,0.353371931,0.336992787,0.309635283
id15697,0.379960392,0.291160889,0.328878719
id17026,0.392857887,0.212032604,0.395109509
id04243,0.380485807,0.308215313,0.311298879
id13175,0.503707131,0.245717091,0.250575778
id05387,0.412976932,0.275017972,0.312005096
id19989,0.393680839,0.29682194,0.309497222
id25173,0.355303699,0.279314221,0.36538208
id08925,0.36810639,0.391450782,0.240442828
id03034,0.329194364,0.373795693,0.297009943
id13272,0.307417279,0.43189322,0.260689501
id07956,0.404798641,0.255754505,0.339446853
id02648,0.294357864,0.182178932,0.523463203
id01778,0.36937422,0.266044026,0.364581753
id12846,0.347744007,0.229703126,0.422552867
id19001,0.362461242,0.279491778,0.35804698
id05763,0.383361004,0.300856148,0.315782849
id15590,0.328383038,0.261813146,0.409803816
id04912,0.381012379,0.28496422,0.3340234
id21201,0.415817128,0.299890044,0.284292827
id13215,0.49291064,0.205695216,0.301394143
id15612,0.356959088,0.351019073,0.292021839
id18501,0.380109325,0.301557676,0.318332999
id07223,0.35374133,0.357993116,0.288265554
id06707,0.335318432,0.29297551,0.371706059
id05238,0.30827175,0.417070925,0.274657325
id00935,0.330079876,0.298117124,0.371803
id00110,0.378050612,0.258668305,0.363281083
id17476,0.422712778,0.280858961,0.29642826
id15170,0.466780542,0.270003594,0.263215864
id13397,0.349098604,0.274737576,0.376163819
id24283,0.376125914,0.309788427,0.314085659
id15234,0.435044432,0.288673113,0.276282455
id16884,0.338832855,0.350212412,0.310954734
id07831,0.389893742,0.310331396,0.299774862
id16038,0.445119175,0.279206238,0.275674587
id03629,0.435126514,0.263707607,0.30116588
id21019,0.422075143,0.343895128,0.234029728
id21835,0.346240699,0.343892087,0.309867213
id04480,0.378544467,0.391426502,0.230029031
id20838,0.417416638,0.31011676,0.272466602
id24195,0.435864927,0.314553169,0.249581904
id05448,0.402602989,0.310684724,0.286712288
id15957,0.320855988,0.397087619,0.282056393
id19956,0.316758538,0.219098722,0.464142741
id15104,0.307487912,0.299677127,0.392834961
id17559,0.463974411,0.285320979,0.25070461
id16839,0.368095173,0.270519709,0.361385118
id14493,0.393644103,0.263031315,0.343324583
id08833,0.387578208,0.272368988,0.340052804
id15723,0.385701873,0.20130529,0.412992837
id02716,0.420494946,0.267729449,0.311775604
id06689,0.34078739,0.3897329,0.269479709
id18837,0.355846711,0.27864908,0.36550421
id04466,0.440228901,0.293024881,0.266746218
id00686,0.406306473,0.280478498,0.313215029
id09010,0.373010043,0.375336539,0.251653418
id23353,0.4850914,0.242909609,0.271998991
id00066,0.370849759,0.294900569,0.334249672
id15724,0.321693279,0.385648951,0.29265777
id23486,0.344918738,0.291036619,0.364044642
id22258,0.342973448,0.28470564,0.372320913
id02292,0.432911711,0.262843877,0.304244411
id16356,0.359468591,0.267363466,0.373167942
id00235,0.403899001,0.270981897,0.325119103
