,EAP,HPL,MWS
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,496.66124219896426,0.0,0.0
3,0.030293151677353657,0.0,0.0
4,22044745524933.156,65075560351.8043,473447483483.34607
5,51918.285835422044,0.0,0.0
6,3266381167436.3745,6797930124.631735,113972817226.91179
7,80.7612483736544,0.0,3367.13992265926
8,41964167.359621346,0.0,0.0
9,2805127506974529.5,25791607763129.465,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,609255.466151019,0.0
14,0.0,0.0,0.0
15,0.0,0.0,1024765758982180.5
16,1268619026.1942334,0.0,194018739.2893984
17,17263425.796342514,0.0,0.0
18,0.0,0.0,0.0
19,0.0,113216.41784068054,0.0
20,435878280190.38495,22300116.83236599,354380387.5912915
21,0.0,0.0,0.0
22,19318490960532.543,4922983205706.012,5621359981036.1
23,84224774514341.39,3077040194367.885,35209400811830.55
24,1386.830926229312,0.31736441779281904,873.2692380498269
25,0.0,0.0,4520391587464.18
26,0.0,0.0,0.0
27,314029112756.2098,586958939.2694184,794089035.5586995
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,17096.280338255172,35084039.08191235
31,0.2361685999172315,0.0,0.0
32,0.0,289951072.15687114,0.0
33,220483787526254.5,0.0,0.0
34,10904624515523.78,1590249367465.7888,0.0
35,0.0,0.0,0.0
36,244796475235.8932,1987665637.4881873,0.0
37,9484264629691.684,5121995105663.798,119662480177319.34
38,0.0,312.3907585949696,0.0
39,425.12881676174715,0.0,0.0
40,0.0,6150870356.724389,5582894310461.748
41,8355682633431820.0,0.0,0.0
42,216131693579.96564,0.0,0.0
43,383657476.5317021,0.0,0.0
44,9988175.110967057,76.28753425831945,120.04952399181784
45,0.0,2096692.3160568068,0.0
46,0.0,71761302254.74202,0.0
47,1583884689208683.0,55836438470806.81,83226080885333.12
48,0.0,0.0,23791.75627920507
49,0.0,0.0,1007.4960974008422
50,0.7355625364938347,0.0,0.0
51,27331426.48874408,0.0,0.0
52,63700060215.837494,314469326.8934067,0.0
53,0.0,0.0,2394300747055.1587
54,78935339951.27287,0.0,0.0
55,0.0,0.0,0.0
56,4247683082676.7256,0.0,9125855458129.639
57,28043816869.656372,4551937500.778548,263158513581.0463
58,0.0,0.0,0.0
59,4364274.275491261,0.0,1020371.1886417893
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,1638562505397092.8,85506604460692.34,2454632978675100.5
63,6.872152558690662e-05,5.093439618916897e-14,0.0
64,0.0,0.545477030460622,0.0
65,847897889066248.6,246164952907809.2,2577896790700525.5
66,2163255194645.2876,11157054041.53941,0.0
67,1.5849595279534946e+16,0.0,0.0
68,127308620.53352557,1026239674.5942811,2584679.9989687386
69,264544726323.18665,23194496.12422412,64122135562.67381
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,20215.155764469382,0.0
73,984508321877476.1,0.0,401076163562563.1
74,659979.2631374866,0.0,52764514.434829116
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,58347870833085.02,9690726038290.93,26977046858400.305
78,0.0,0.0,4493680884.567164
79,0.0,129284319895.6908,0.0
80,1061880901.5629969,0.0,0.0
81,82667982.4298619,0.0,3319040503.7014427
82,82407633574.02591,27014146045.269894,543291154.6721858
83,0.0,0.0,0.0
84,72268812226704.5,7225109605020.909,10708929719817.592
85,7.634313797820445e-08,0.0,0.0
86,0.0,0.0,1412722781.831529
87,0.0,0.0,0.0
88,915370496219466.8,1268997296053678.2,1.6596415472834792e+16
89,6044629741.51352,0.0,0.0
90,2313078241640948.0,160227881484403.6,13623874904441.396
91,2390064691.962059,0.0,0.0
92,0.0,0.0,42063.250690096545
93,1095636977574.5863,0.0,0.0
94,1231005562002300.8,1448579353959031.5,640799644628951.1
95,0.0,103.214179723389,0.0
96,0.0,434077.3042475406,0.0
97,0.0,0.0,98.40590968018586
98,251.1362500426621,0.02070293399086874,0.0
99,105744.0258034588,0.0,0.0
100,7.088917550777734e-22,0.0,0.0
101,0.0,0.0,0.0
102,275960364.9225625,0.0,35944032885.932495
103,0.0,0.0,0.0
104,0.0,0.0,0.14481922616006657
105,0.0,0.0,6639689273.0807905
106,0.0,0.0,3.2959116683446596e-27
107,0.0,0.0,0.0
108,69718703389.77885,10533059675.756695,7718180195.040036
109,0.0,0.0,0.0
110,1.8819611741509292e+16,4972490141857964.0,0.0
111,0.0,0.0,18601542741542.387
112,58093.31728559222,72.00262194985626,0.0
113,0.0,31480.44382513721,0.0
114,0.0,0.0,0.0
115,510135519960.3883,3537797131.555908,82452437388.60242
116,22433462216649.906,32705124433.936474,5548532998.85534
117,0.0,0.0,0.0
118,683.8553352797043,0.0,0.0
119,0.0,0.0,0.0
120,3231321883.9775677,0.0,0.0
121,0.0,0.0,5.705623690255741e-12
122,211343900180863.7,631922635210.8434,199606810140617.9
123,0.0,14170670972.774368,0.0
124,0.0,0.002388456859572087,0.0
125,441451815470.649,0.0,0.0
126,0.0,1694980265.3944404,0.0
127,3.9208033671102525e-14,0.0,0.0
128,2237049005.940503,40499317.26729891,0.0
129,0.0,0.0,0.07565174945823594
130,6915889109568.46,66724056402742.375,155199566133768.47
131,0.0,0.0,0.0
132,33015329.72783903,0.0,68361982.65546122
133,63355.693291793905,29608.811231743657,3174782.1665377165
134,3894087802.7247214,356979.72356832214,246954680383.33414
135,0.0,0.0,0.0
136,219875247312345.22,0.0,0.0
137,10455192415.140827,1537885.3004411578,0.0
138,0.0,12943.63010640793,0.0
139,0.0,0.0,1458714137.124828
140,0.0,0.0,41.18704072764263
141,0.0,6.4638685290676055,0.0
142,2.0820586946971804e+16,1.0775531414939332e+16,2.700801196585595e+16
143,0.0,0.0,0.0
144,0.0,349513613982.63794,245166842088.81888
145,0.0,0.0,0.0
