id,EAP,HPL,MWS
id02310,0.0262575,0.0040608,0.9696816
id24541,0.9999922,0.0000077,0.0000001
id00134,0.0115985,0.9882256,0.0001759
id27757,0.0383402,0.9616568,0.0000029
id04081,0.8509648,0.0152473,0.1337879
id27337,0.9815487,0.0184365,0.0000148
id24265,0.8742339,0.0090666,0.1166996
id25917,0.0008409,0.0001711,0.9989881
id04951,0.9998258,0.0001736,0.0000006
id14549,0.9398353,0.0145677,0.0455970
id22505,0.0018488,0.0111322,0.9870190
id24002,0.0000045,0.9999943,0.0000012
id18982,0.0012806,0.0008911,0.9978283
id15181,0.0020442,0.9969216,0.0010342
id21888,0.3288556,0.1718299,0.4993145
id12035,0.0022403,0.0004369,0.9973229
id17991,0.3721319,0.0024091,0.6254591
id10707,0.9999923,0.0000070,0.0000007
id07101,0.8958538,0.0140032,0.0901430
id00345,0.9657966,0.0289677,0.0052357
id05912,0.9897805,0.0009973,0.0092222
id13443,0.4142872,0.0532643,0.5324486
id09248,0.4374957,0.2763175,0.2861869
id17542,0.5430913,0.0565330,0.4003757
id06995,0.1451305,0.0011415,0.8537280
id25159,0.6816104,0.0019715,0.3164181
id25729,0.9585402,0.0317004,0.0097593
id26949,0.9810549,0.0120935,0.0068516
id27191,0.0017138,0.0000000,0.9982862
id07668,0.0953801,0.0000001,0.9046198
id02230,0.0047037,0.0009165,0.9943797
id15553,0.9999994,0.0000004,0.0000001
id25688,0.0000006,0.9999914,0.0000080
id17545,0.9792528,0.0073168,0.0134304
id13929,0.5148013,0.3154421,0.1697567
id12880,0.5645066,0.3585887,0.0769047
id19282,0.7943147,0.0723408,0.1333445
id14690,0.0397296,0.0413250,0.9189454
id17975,0.0240050,0.9674562,0.0085388
id08037,0.9999980,0.0000000,0.0000019
id15412,0.0276181,0.0025011,0.9698807
id25032,0.6465635,0.0962551,0.2571814
id27165,0.9997075,0.0001426,0.0001500
id03327,0.9605005,0.0372154,0.0022841
id18515,0.9976349,0.0015190,0.0008461
id21003,0.0602625,0.0712696,0.8684679
id23855,0.0000510,0.9538112,0.0461378
id20724,0.8431144,0.0642301,0.0926555
id13303,0.9242775,0.0261596,0.0495629
id16521,0.0008414,0.8488074,0.1503512
id20775,1.0000000,0.0000000,0.0000000
id13029,0.9996134,0.0001505,0.0002362
id14660,0.9437245,0.0367351,0.0195404
id11028,0.0012657,0.0000013,0.9987331
id14180,0.9980160,0.0016360,0.0003480
id25860,0.9999967,0.0000020,0.0000013
id11910,0.1322530,0.0000174,0.8677296
id08065,0.0374219,0.0192182,0.9433599
id22674,0.0038883,0.0000141,0.9960977
id25018,0.2988145,0.0004548,0.7007307
id10892,0.0000528,0.9999391,0.0000081
id10217,0.8167158,0.1832397,0.0000444
id12996,0.2831206,0.0260638,0.6908156
id18262,0.9963359,0.0000078,0.0036562
id08606,0.0000054,0.9999921,0.0000026
id17233,0.1868760,0.1254351,0.6876889
id00101,0.8317768,0.0400549,0.1281683
id12225,0.4487346,0.2191765,0.3320889
id01364,0.0105450,0.9873986,0.0020565
id24973,0.4441751,0.0003178,0.5555071
id25363,0.3033216,0.0000000,0.6966784
id10061,0.9473348,0.0026958,0.0499694
id17673,0.6011068,0.3607062,0.0381870
id13249,0.4804868,0.0731315,0.4463817
id10107,0.0014173,0.0000019,0.9985808
id04403,0.9992413,0.0000127,0.0007460
id25728,0.8185341,0.0122791,0.1691868
id16184,0.3468329,0.2070766,0.4460905
id03438,0.0361231,0.0002657,0.9636112
id22923,0.0084271,0.9914811,0.0000919
id08610,0.9999916,0.0000064,0.0000020
id25355,0.0046335,0.0033440,0.9920225
id16916,0.3791668,0.6021172,0.0187161
id12793,0.0310987,0.9676271,0.0012742
id11859,0.7356233,0.1088311,0.1555456
id02434,1.0000000,0.0000000,0.0000000
id27703,0.0000613,0.0000003,0.9999384
id25212,0.0001662,0.9996092,0.0002247
id11308,0.0450205,0.0702097,0.8847698
id26094,0.9986042,0.0012921,0.0001037
id22080,0.8566355,0.1299676,0.0133969
id03545,0.9929102,0.0070324,0.0000574
id23725,0.0003529,0.0002358,0.9994113
id12009,0.9679242,0.0254250,0.0066508
id24241,0.2646960,0.5163425,0.2189615
id03596,0.0011197,0.9988585,0.0000218
id10749,0.1026893,0.8918333,0.0054774
id22794,0.0000002,0.0000005,0.9999993
id15482,0.8575264,0.0155765,0.1268971
id04833,0.8895741,0.1084779,0.0019480
id00397,0.0007391,0.0000000,0.9992609
id14691,0.0025641,0.0000108,0.9974251
id05193,0.0026805,0.0000576,0.9972619
id19541,0.9662428,0.0233083,0.0104489
id22166,0.0000001,0.0000011,0.9999988
id20744,0.0030430,0.0000196,0.9969374
id10392,0.0000001,0.0000001,0.9999998
id00770,0.9983296,0.0003733,0.0012970
id06018,0.6173891,0.2296515,0.1529594
id15678,0.1119400,0.0004331,0.8876269
id08305,0.6973799,0.3007085,0.0019115
id08903,0.0255775,0.0096611,0.9647614
id14752,0.8511887,0.1487309,0.0000803
id12468,0.0005965,0.9994008,0.0000027
id05085,0.7435066,0.1471236,0.1093698
id21993,0.6262039,0.0208960,0.3529001
id15503,0.9729012,0.0212698,0.0058289
id03021,0.0000000,1.0000000,0.0000000
id16123,1.0000000,0.0000000,0.0000000
id19383,0.9994114,0.0003384,0.0002502
id04186,0.9996319,0.0000029,0.0003652
id17954,0.0000057,0.0000000,0.9999943
id12030,0.3519600,0.0038342,0.6442058
id13020,0.5276700,0.4711506,0.0011794
id25327,0.0001376,0.2272490,0.7726133
id16344,0.1463435,0.0918310,0.7618255
id12303,0.4772311,0.4656134,0.0571555
id15017,0.9999998,0.0000002,0.0000000
id22308,0.5629313,0.0920249,0.3450438
id06536,0.0002205,0.0002431,0.9995364
id19797,0.0407409,0.2998672,0.6593919
